"sector_de_actividad_económica","anio","vab_pb","provincia"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2009","5941377492.74854","CABA"
"Enseñanza pública","2009","1697662846.52406","CABA"
"Enseñanza privada","2009","1580459667.63728","CABA"
"Salud pública","2009","1165918272.94796","CABA"
"Salud privada","2009","4133490793.26533","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2009","697963044.18441","CABA"
"Asociaciones","2009","2192400339.06621","CABA"
"Servicios culturales y deportivos. Otras actividades","2009","3301809729.41144","CABA"
"Servicio doméstico","2009","1163901541.32339","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2010","219893398.89281","CABA"
"Silvicultura, extracción de madera y servicios conexos","2010","206142.53566","CABA"
"Pesca","2010","30706791.29624","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2010","720240648.24177","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2010","161097048.03065","CABA"
"Elaboración de productos alimenticios y bebidas","2010","2820669572.69035","CABA"
"Elaboración de productos de tabaco","2010","64494078.09643","CABA"
"Fabricación de productos textiles","2010","790782215.02977","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2010","1617614268.51223","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2010","665326244.68398","CABA"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2010","145393362.28031","CABA"
"Fabricación de papel y de  productos de papel","2010","468894688.84209","CABA"
"Edición e impresión; reproducción de grabaciones","2010","2481632847.52119","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2010","513033212.64159","CABA"
"Fabricación de sustancias y productos químicos","2010","3239282362.31175","CABA"
"Fabricación de productos de caucho y plástico","2010","515978286.85305","CABA"
"Fabricación de productos minerales no metálicos","2010","295203732.40451","CABA"
"Fabricación de metales comunes","2010","476566339.34158","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2010","648473394.37457","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2010","1027128652.96766","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2010","238621623.82878","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2010","286381260.51589","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2010","263695926.24374","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2010","229330722.94480","CABA"
